Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,83,13,0,96,13.5,26,22,48,54.2
2017 Q2,80,5,0,85,5.9,23,15,38,60.5
2017 Q3,96,6,0,102,5.9,27,22,49,55.1
2017 Q4,84,2,0,86,2.3,25,19,44,56.8
2018 Q1,87,3,0,90,3.3,24,14,38,63.2
2018 Q2,76,16,0,92,17.4,12,13,25,48.0
2018 Q3,110,7,0,117,6.0,7,12,19,36.8
2018 Q4,108,11,0,119,9.2,6,12,18,33.3
2019 Q1,90,6,0,96,6.2,18,19,37,48.6
2019 Q2,90,5,0,95,5.3,29,35,64,45.3
2019 Q3,100,14,0,114,12.3,6,24,30,20.0
2019 Q4,75,13,1,89,14.6,25,17,42,59.5
2020 Q1,77,21,0,98,21.4,15,11,26,57.7
2020 Q2,66,5,0,71,7.0,4,15,19,21.1
2020 Q3,97,15,3,115,13.0,10,19,29,34.5
2020 Q4,64,10,1,75,13.3,11,21,32,34.4
2021 Q1,80,7,0,87,8.0,17,25,42,40.5
2021 Q2,99,8,1,108,7.4,15,18,33,45.5
2021 Q3,89,23,0,112,20.5,16,11,27,59.3
2021 Q4,63,11,4,78,14.1,18,18,36,50.0
2022 Q1,99,18,0,117,15.4,13,19,32,40.6
2022 Q2,61,12,0,73,16.4,10,19,29,34.5
2022 Q3,60,13,0,73,17.8,25,23,48,52.1
2022 Q4,52,5,0,57,8.8,11,13,24,45.8
2023 Q1,61,9,0,70,12.9,15,14,29,51.7
2023 Q2,72,11,0,83,13.3,13,16,29,44.8
2023 Q3,89,10,0,99,10.1,11,13,24,45.8
2023 Q4,69,2,0,71,2.8,17,26,43,39.5
2024 Q1,67,6,0,73,8.2,19,15,34,55.9
2024 Q2,61,6,1,68,8.8,18,16,34,52.9
2024 Q3,68,6,0,74,8.1,15,23,38,39.5
2024 Q4,38,7,0,45,15.6,13,22,35,37.1
2025 Q1,54,6,0,60,10.0,19,26,45,42.2
2025 Q2,46,7,0,53,13.2,20,17,37,54.1
2025 Q3,49,11,1,61,18.0,8,20,28,28.6
2025 Q4,52,4,0,57,7.0,7,15,22,31.8
2026 Q1,41,7,0,48,14.6,12,18,30,40.0
2026 Q2,43,9,1,53,17.0,2,3,5,40.0
