Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,369,62,431,0,34,56,25,33,154,302,14.4,18.5
2018,418,83,501,1,21,24,29,16,72,163,16.6,14.7
2019,394,82,476,1,43,31,43,35,130,283,17.2,11.0
2020,359,93,452,1,36,28,18,21,88,192,20.6,14.6
2021,385,51,436,2,24,29,17,31,121,224,11.7,12.9
2022,320,25,345,0,44,41,21,42,112,260,7.2,15.8
2023,323,9,332,1,33,32,12,38,113,229,2.7,14.0
2024,260,3,263,1,46,53,17,34,124,275,1.1,19.3
2025,231,5,236,1,28,29,7,24,125,214,2.1,13.6
