District,Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving White defendants declined
09,2020,15,1,16,160,7,167,504,34,538,6.25,4.19161677,6.3197026
09,2021,20,1,21,163,6,169,474,22,496,4.76190476,3.55029586,4.43548387
09,2022,21,2,23,127,17,144,357,48,405,8.69565217,11.80555556,11.85185185
09,2023,11,1,12,127,18,145,369,54,423,8.33333333,12.4137931,12.76595745
09,2024,14,2,16,150,9,159,394,24,418,12.5,5.66037736,5.74162679
09,2025,17,2,19,153,17,170,298,31,329,10.52631579,10.0,9.4224924
