Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,1241,0,1241,0.0
2018,896,1,897,0.1
2019,900,3,903,0.3
2020,698,3,701,0.4
2021,677,2,679,0.3
2022,531,0,531,0.0
2023,528,0,528,0.0
2024,574,0,574,0.0
2025,488,2,490,0.4
