Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,201,32,1,234,13.7,35,49,84,41.7
2017 Q2,284,29,2,315,9.2,47,63,110,42.7
2017 Q3,248,44,2,294,15.0,33,55,88,37.5
2017 Q4,345,52,1,398,13.1,45,84,129,34.9
2018 Q1,245,53,2,300,17.7,40,59,99,40.4
2018 Q2,176,29,2,207,14.0,46,58,104,44.2
2018 Q3,167,14,2,183,7.7,45,53,98,45.9
2018 Q4,195,9,2,206,4.4,48,49,97,49.5
2019 Q1,197,12,2,211,5.7,41,47,88,46.6
2019 Q2,203,14,0,217,6.5,58,63,121,47.9
2019 Q3,237,13,5,255,5.1,72,55,127,56.7
2019 Q4,191,22,4,217,10.1,61,65,126,48.4
2020 Q1,173,15,0,188,8.0,76,81,157,48.4
2020 Q2,150,16,0,166,9.6,55,57,112,49.1
2020 Q3,167,18,0,185,9.7,27,49,76,35.5
2020 Q4,145,12,2,159,7.5,45,48,93,48.4
2021 Q1,173,16,2,191,8.4,42,42,84,50.0
2021 Q2,172,16,0,188,8.5,33,48,81,40.7
2021 Q3,123,34,2,159,21.4,54,52,106,50.9
2021 Q4,118,21,0,139,15.1,54,62,116,46.6
2022 Q1,99,24,0,124,19.4,42,64,106,39.6
2022 Q2,105,20,0,125,16.0,29,66,95,30.5
2022 Q3,103,35,0,138,25.4,39,46,85,45.9
2022 Q4,126,16,2,144,11.1,29,37,66,43.9
2023 Q1,112,16,1,129,12.4,27,39,66,40.9
2023 Q2,123,21,0,144,14.6,25,56,81,30.9
2023 Q3,127,19,1,147,12.9,26,52,78,33.3
2023 Q4,92,15,1,108,13.9,25,40,65,38.5
2024 Q1,117,21,2,140,15.0,21,51,72,29.2
2024 Q2,129,15,1,145,10.3,24,44,68,35.3
2024 Q3,114,28,1,143,19.6,28,50,78,35.9
2024 Q4,124,22,0,146,15.1,22,38,60,36.7
2025 Q1,97,21,3,121,17.4,33,57,90,36.7
2025 Q2,108,7,0,115,6.1,27,38,65,41.5
2025 Q3,103,19,0,122,15.6,17,53,70,24.3
2025 Q4,107,21,2,130,16.2,20,27,47,42.6
2026 Q1,108,19,1,128,14.8,38,32,70,54.3
2026 Q2,94,22,1,117,18.8,24,49,73,32.9
