District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
09,2017 Q1,201,32,1,234,13.67521368,35,49,84,41.66666667
09,2017 Q2,284,29,2,315,9.20634921,47,63,110,42.72727273
09,2017 Q3,248,44,2,294,14.96598639,33,55,88,37.5
09,2017 Q4,345,52,1,398,13.06532663,45,84,129,34.88372093
09,2018 Q1,245,53,2,300,17.66666667,40,59,99,40.4040404
09,2018 Q2,176,29,2,207,14.00966184,46,58,104,44.23076923
09,2018 Q3,167,14,2,183,7.65027322,45,53,98,45.91836735
09,2018 Q4,195,9,2,206,4.36893204,47,49,96,48.95833333
09,2019 Q1,197,12,2,211,5.68720379,41,47,88,46.59090909
09,2019 Q2,203,14,0,217,6.4516129,58,63,121,47.9338843
09,2019 Q3,237,13,5,255,5.09803922,72,55,127,56.69291339
09,2019 Q4,191,22,4,217,10.13824885,61,65,126,48.41269841
09,2020 Q1,173,15,0,188,7.9787234,76,81,157,48.40764331
09,2020 Q2,150,16,0,166,9.63855422,55,57,112,49.10714286
09,2020 Q3,167,18,0,185,9.72972973,27,49,76,35.52631579
09,2020 Q4,145,12,2,159,7.54716981,45,48,93,48.38709677
09,2021 Q1,173,16,2,191,8.37696335,42,42,84,50.0
09,2021 Q2,172,16,0,188,8.5106383,33,48,81,40.74074074
09,2021 Q3,123,34,2,159,21.3836478,54,52,106,50.94339623
09,2021 Q4,118,21,0,139,15.10791367,54,62,116,46.55172414
09,2022 Q1,99,24,0,124,19.35483871,42,64,106,39.62264151
09,2022 Q2,105,20,0,125,16.0,29,66,95,30.52631579
09,2022 Q3,103,35,0,138,25.36231884,39,46,85,45.88235294
09,2022 Q4,126,16,2,144,11.11111111,29,37,66,43.93939394
09,2023 Q1,112,16,1,129,12.40310078,27,39,66,40.90909091
09,2023 Q2,123,21,0,144,14.58333333,25,56,81,30.86419753
09,2023 Q3,127,19,1,147,12.92517007,26,52,78,33.33333333
09,2023 Q4,92,15,1,108,13.88888889,25,40,65,38.46153846
09,2024 Q1,117,21,2,140,15.0,21,51,72,29.16666667
09,2024 Q2,129,15,1,145,10.34482759,24,44,68,35.29411765
09,2024 Q3,114,28,1,143,19.58041958,28,50,78,35.8974359
09,2024 Q4,124,22,0,146,15.06849315,22,38,60,36.66666667
09,2025 Q1,97,21,3,121,17.3553719,33,57,90,36.66666667
09,2025 Q2,108,7,0,115,6.08695652,27,38,65,41.53846154
09,2025 Q3,103,19,0,122,15.57377049,17,53,70,24.28571429
09,2025 Q4,107,21,2,130,16.15384615,19,27,46,41.30434783
09,2026 Q1,108,19,1,128,14.84375,38,32,70,54.28571429
09,2026 Q2,93,23,1,117,19.65811966,22,47,69,31.88405797
