Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2020,15,1,16,160,7,167,3,0,3,504,34,538,6.2,4.2,0.0,6.3
2021,20,1,21,163,6,169,6,0,6,474,22,496,4.8,3.6,0.0,4.4
2022,21,2,23,129,17,146,3,1,4,355,48,403,8.7,11.6,25.0,11.9
2023,11,1,12,131,18,149,1,0,1,365,54,419,8.3,12.1,0.0,12.9
2024,14,2,16,152,10,162,2,0,2,392,24,416,12.5,6.2,0.0,5.8
2025,17,2,19,155,17,172,1,0,1,297,31,328,10.5,9.9,0.0,9.5
