Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,1241,0,1241,3,127,76,289,63,122,680,0.0,11.2
2018,896,1,897,2,148,64,38,39,360,651,0.1,9.8
2019,900,3,903,1,131,97,10,45,453,737,0.3,13.2
2020,698,3,701,3,122,70,14,33,424,666,0.4,10.5
2021,677,2,679,4,97,125,11,62,376,675,0.3,18.5
2022,531,0,531,14,77,112,14,54,338,609,0.0,18.4
2023,528,0,528,6,105,54,13,38,276,492,0.0,11.0
2024,574,0,574,4,66,69,14,35,265,453,0.0,15.2
2025,488,2,490,2,79,51,14,26,258,430,0.4,11.9
