District,Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
09,2017,1241,4,1245,0.32128514
09,2018,896,27,923,2.92524377
09,2019,900,58,958,6.05427975
09,2020,698,51,749,6.80907877
09,2021,677,34,711,4.78199719
09,2022,531,76,607,12.52059308
09,2023,528,89,617,14.42463533
09,2024,574,46,620,7.41935484
09,2025,488,71,559,12.70125224
