Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,698,51,749,6.8
2021,677,34,711,4.8
2022,531,76,607,12.5
2023,528,89,617,14.4
2024,574,46,620,7.4
2025,488,71,559,12.7
