District,Metric,Felony,Misdemeanor
23,Filings 2025,1326.0,9848.0
23,Change since 2024,-11.126,-7.068
23,,,
23,Filings Quarter 4 2025,319.0,2538.0
23,Change since Quarter 4 2024,-13.079,-19.2491
