District,Filing Quarter,Number of violent cases filed per quarter
23,2017 Q1,48
23,2017 Q2,46
23,2017 Q3,38
23,2017 Q4,59
23,2018 Q1,60
23,2018 Q2,46
23,2018 Q3,39
23,2018 Q4,42
23,2019 Q1,48
23,2019 Q2,45
23,2019 Q3,59
23,2019 Q4,53
23,2020 Q1,44
23,2020 Q2,38
23,2020 Q3,53
23,2020 Q4,67
23,2021 Q1,36
23,2021 Q2,40
23,2021 Q3,58
23,2021 Q4,61
23,2022 Q1,64
23,2022 Q2,45
23,2022 Q3,44
23,2022 Q4,32
23,2023 Q1,50
23,2023 Q2,54
23,2023 Q3,54
23,2023 Q4,66
23,2024 Q1,68
23,2024 Q2,54
23,2024 Q3,67
23,2024 Q4,77
23,2025 Q1,51
23,2025 Q2,74
23,2025 Q3,56
23,2025 Q4,51
23,2026 Q1,55
23,2026 Q2,68
23,2026 Q3,2
23,2027 Q2,0
23,2049 Q2,0
