District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
23,2018 Q3,336,2329,197,2862,11.74004193
23,2019 Q2,350,2585,207,3142,11.13940165
23,2020 Q4,348,2334,95,2777,12.53150882
23,2026 Q1,327,2361,190,2878,11.36205698
23,2025 Q3,326,2419,226,2971,10.97273645
23,2021 Q3,329,2275,174,2778,11.84305256
23,2023 Q1,262,2211,163,2636,9.93930197
23,2017 Q3,383,2325,196,2904,13.18870523
23,2025 Q4,319,2538,246,3103,10.28037383
23,2021 Q2,285,2268,155,2708,10.52437223
23,2019 Q1,354,2448,132,2934,12.06543967
23,2022 Q2,366,1974,183,2523,14.50653983
23,2018 Q1,374,2545,178,3097,12.07620278
23,2019 Q4,383,2440,150,2973,12.88261016
23,2021 Q1,303,2204,101,2608,11.61809816
23,2019 Q3,435,2456,190,3081,14.1187926
23,2024 Q1,390,2080,151,2621,14.87981686
23,2018 Q2,425,2410,168,3003,14.15251415
23,2020 Q1,413,2458,185,3056,13.51439791
23,2023 Q4,399,2720,234,3353,11.89979123
23,2018 Q4,404,2342,178,2924,13.81668947
23,2020 Q3,333,2242,134,2709,12.2923588
23,2017 Q4,408,2193,166,2767,14.74521142
23,2024 Q3,377,2650,233,3260,11.56441718
23,2024 Q2,358,2724,174,3256,10.995086
23,2026 Q3,8,59,6,73,10.95890411
23,2017 Q1,395,2798,179,3372,11.71411625
23,2022 Q3,235,2085,196,2516,9.34022258
23,2025 Q1,338,2443,181,2962,11.41120864
23,2023 Q2,407,2266,188,2861,14.22579518
23,2017 Q2,362,2621,150,3133,11.55442068
23,2020 Q2,293,1947,150,2390,12.25941423
23,2023 Q3,363,2410,192,2965,12.24283305
23,2049 Q2,0,1,0,1,0.0
23,2027 Q2,0,1,0,1,0.0
23,2022 Q1,362,2382,132,2876,12.58692629
23,2024 Q4,367,3143,269,3779,9.71156391
23,2026 Q2,280,2375,198,2853,9.81423063
23,2025 Q2,343,2448,221,3012,11.3877822
23,2021 Q4,317,2302,143,2762,11.47719044
23,2022 Q4,303,2053,202,2558,11.84519156
