Metric,Felony,Misdemeanor
Filings 2025,1326.0,9851.0
Change since 2024,-11.126,-7.0397
,,
Filings Quarter 4 2025,319.0,2539.0
Change since Quarter 4 2024,-13.079,-19.2173
