District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
23,2017 Q1,395,2798,179
23,2017 Q2,362,2621,150
23,2017 Q3,383,2325,196
23,2017 Q4,408,2193,166
23,2018 Q1,374,2545,178
23,2018 Q2,425,2410,168
23,2018 Q3,336,2329,197
23,2018 Q4,404,2342,178
23,2019 Q1,354,2448,132
23,2019 Q2,350,2585,207
23,2019 Q3,435,2456,190
23,2019 Q4,383,2440,150
23,2020 Q1,413,2458,185
23,2020 Q2,293,1947,150
23,2020 Q3,333,2242,134
23,2020 Q4,348,2334,95
23,2021 Q1,303,2204,101
23,2021 Q2,285,2268,155
23,2021 Q3,329,2275,174
23,2021 Q4,317,2302,143
23,2022 Q1,362,2382,132
23,2022 Q2,366,1974,183
23,2022 Q3,235,2085,196
23,2022 Q4,303,2053,202
23,2023 Q1,262,2211,163
23,2023 Q2,407,2266,188
23,2023 Q3,363,2410,192
23,2023 Q4,399,2720,234
23,2024 Q1,390,2080,151
23,2024 Q2,358,2724,174
23,2024 Q3,377,2650,233
23,2024 Q4,367,3143,269
23,2025 Q1,338,2443,181
23,2025 Q2,343,2448,221
23,2025 Q3,326,2419,226
23,2025 Q4,319,2538,246
23,2026 Q1,327,2361,190
23,2026 Q2,280,2375,198
23,2026 Q3,8,59,6
23,2027 Q2,0,1,0
23,2049 Q2,0,1,0
