Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,395,2798,179,3372,11.7
2017 Q2,362,2621,150,3133,11.6
2017 Q3,383,2325,196,2904,13.2
2017 Q4,408,2193,166,2767,14.7
2018 Q1,374,2545,178,3097,12.1
2018 Q2,425,2410,168,3003,14.2
2018 Q3,336,2329,197,2862,11.7
2018 Q4,404,2342,178,2924,13.8
2019 Q1,354,2448,132,2934,12.1
2019 Q2,350,2585,207,3142,11.1
2019 Q3,435,2456,190,3081,14.1
2019 Q4,383,2440,150,2973,12.9
2020 Q1,413,2458,185,3056,13.5
2020 Q2,293,1947,150,2390,12.3
2020 Q3,333,2242,134,2709,12.3
2020 Q4,348,2334,95,2777,12.5
2021 Q1,303,2204,101,2608,11.6
2021 Q2,285,2268,155,2708,10.5
2021 Q3,329,2275,174,2778,11.8
2021 Q4,317,2302,143,2762,11.5
2022 Q1,362,2382,132,2876,12.6
2022 Q2,366,1974,183,2523,14.5
2022 Q3,235,2085,196,2516,9.3
2022 Q4,303,2053,202,2558,11.8
2023 Q1,262,2211,163,2636,9.9
2023 Q2,407,2266,188,2861,14.2
2023 Q3,363,2410,192,2965,12.2
2023 Q4,399,2720,234,3353,11.9
2024 Q1,390,2080,151,2621,14.9
2024 Q2,358,2724,174,3256,11.0
2024 Q3,377,2650,233,3260,11.6
2024 Q4,367,3143,269,3779,9.7
2025 Q1,338,2443,181,2962,11.4
2025 Q2,343,2448,221,3012,11.4
2025 Q3,326,2419,226,2971,11.0
2025 Q4,319,2539,246,3104,10.3
2026 Q1,326,2362,190,2878,11.3
2026 Q2,281,2377,196,2854,9.8
