District,Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
23,2020,1636,71,88,1274,478,865,907,5613
23,2021,1674,75,109,1249,500,781,816,5652
23,2022,1690,66,106,1289,728,801,741,5052
23,2023,1856,65,100,1471,771,775,744,6033
23,2024,1982,81,108,1605,709,948,770,6713
23,2025,1950,139,92,1589,588,848,778,6064
