Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,702,37,739,94.9932341,5.0067659
2017 Q2,735,51,786,93.51145038,6.48854962
2017 Q3,707,41,748,94.51871658,5.48128342
2017 Q4,788,66,854,92.27166276,7.72833724
2018 Q1,918,75,993,92.44712991,7.55287009
2018 Q2,897,91,988,90.78947368,9.21052632
2018 Q3,838,53,891,94.05162738,5.94837262
2018 Q4,949,66,1015,93.49753695,6.50246305
2019 Q1,991,150,1141,86.85363716,13.14636284
2019 Q2,1341,158,1499,89.45963976,10.54036024
2019 Q3,1070,258,1328,80.57228916,19.42771084
2019 Q4,1080,115,1195,90.37656904,9.62343096
2020 Q1,1053,88,1141,92.28746713,7.71253287
2020 Q2,578,52,630,91.74603175,8.25396825
2020 Q3,1304,66,1370,95.18248175,4.81751825
2020 Q4,1023,135,1158,88.34196891,11.65803109
2021 Q1,1067,191,1258,84.81717011,15.18282989
2021 Q2,1241,178,1419,87.4559549,12.5440451
2021 Q3,1249,210,1459,85.60657985,14.39342015
2021 Q4,1031,277,1308,78.82262997,21.17737003
2022 Q1,1196,202,1398,85.55078684,14.44921316
2022 Q2,1316,229,1545,85.17799353,14.82200647
2022 Q3,1101,218,1319,83.47232752,16.52767248
2022 Q4,1111,259,1370,81.09489051,18.90510949
2023 Q1,1357,182,1539,88.17413905,11.82586095
2023 Q2,1265,243,1508,83.88594164,16.11405836
2023 Q3,1193,212,1405,84.91103203,15.08896797
2023 Q4,1188,301,1489,79.78509066,20.21490934
2024 Q1,1281,273,1554,82.43243243,17.56756757
2024 Q2,1319,287,1606,82.12951432,17.87048568
2024 Q3,1431,304,1735,82.47838617,17.52161383
2024 Q4,1513,323,1836,82.40740741,17.59259259
2025 Q1,1569,355,1924,81.54885655,18.45114345
2025 Q2,1597,348,1945,82.10796915,17.89203085
2025 Q3,1403,314,1717,81.71228888,18.28771112
2025 Q4,1207,319,1526,79.09567497,20.90432503
2026 Q1,1377,253,1630,84.47852761,15.52147239
2026 Q2,1175,285,1460,80.47945205,19.52054795
