Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,241,154,395,61.0
2017 Q2,258,187,445,58.0
2017 Q3,215,138,353,60.9
2017 Q4,202,181,383,52.7
2018 Q1,232,149,381,60.9
2018 Q2,305,163,468,65.2
2018 Q3,264,149,413,63.9
2018 Q4,299,161,460,65.0
2019 Q1,268,142,410,65.4
2019 Q2,295,156,451,65.4
2019 Q3,235,149,384,61.2
2019 Q4,217,141,358,60.6
2020 Q1,259,149,408,63.5
2020 Q2,75,78,153,49.0
2020 Q3,155,131,286,54.2
2020 Q4,149,111,260,57.3
2021 Q1,152,132,284,53.5
2021 Q2,163,138,301,54.2
2021 Q3,210,162,372,56.5
2021 Q4,155,111,266,58.3
2022 Q1,177,131,308,57.5
2022 Q2,179,151,330,54.2
2022 Q3,150,138,288,52.1
2022 Q4,166,162,328,50.6
2023 Q1,175,145,320,54.7
2023 Q2,153,160,313,48.9
2023 Q3,153,159,312,49.0
2023 Q4,151,169,320,47.2
2024 Q1,192,169,361,53.2
2024 Q2,180,162,342,52.6
2024 Q3,172,154,326,52.8
2024 Q4,131,149,280,46.8
2025 Q1,152,175,327,46.5
2025 Q2,121,179,300,40.3
2025 Q3,105,141,246,42.7
2025 Q4,109,146,255,42.7
2026 Q1,112,145,257,43.6
2026 Q2,90,115,205,43.9
