District,Disposition Quarter,Average number of hearings per case
20,2017 Q1,5.6697
20,2017 Q2,5.6462
20,2017 Q3,5.4502
20,2017 Q4,5.8827
20,2018 Q1,5.8038
20,2018 Q2,5.5649
20,2018 Q3,6.0034
20,2018 Q4,5.9095
20,2019 Q1,6.1818
20,2019 Q2,5.9641
20,2019 Q3,6.1658
20,2019 Q4,6.018
20,2020 Q1,6.5231
20,2020 Q2,7.172
20,2020 Q3,7.2201
20,2020 Q4,7.5013
20,2021 Q1,7.8767
20,2021 Q2,8.2646
20,2021 Q3,8.2234
20,2021 Q4,8.5724
20,2022 Q1,8.2704
20,2022 Q2,7.8812
20,2022 Q3,8.4167
20,2022 Q4,8.1914
20,2023 Q1,8.0905
20,2023 Q2,7.7933
20,2023 Q3,7.4773
20,2023 Q4,8.0982
20,2024 Q1,7.775
20,2024 Q2,7.4691
20,2024 Q3,8.0102
20,2024 Q4,8.2464
20,2025 Q1,7.9665
20,2025 Q2,8.3106
20,2025 Q3,7.3077
20,2025 Q4,7.9516
20,2026 Q1,7.9951
20,2026 Q2,8.2761
