Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,6,2,8,215,150,365,64,43,107,715,387,1102,75.0,58.9,59.8,64.9
2020,6,4,10,146,120,266,55,23,78,424,318,742,60.0,54.9,70.5,57.1
2021,5,9,14,146,148,294,60,31,91,461,350,811,35.7,49.7,65.9,56.8
2022,1,4,5,182,168,350,55,31,86,429,377,806,20.0,52.0,64.0,53.2
2023,4,1,5,186,166,352,44,44,88,391,415,806,80.0,52.8,50.0,48.5
2024,2,5,7,203,208,411,45,49,94,411,362,773,28.6,49.4,47.9,53.2
2025,3,5,8,153,248,401,41,35,76,287,351,638,37.5,38.2,53.9,45.0
