District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
20,2020,1044,511,409,12,35,2443
20,2021,1276,750,582,26,37,2906
20,2022,1329,711,649,17,41,2993
20,2023,1539,805,576,31,39,3045
20,2024,1683,1017,618,16,62,3448
20,2025,2151,1054,423,15,43,3546
