Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,241,154,395,61.01265823
2017 Q2,258,187,445,57.97752809
2017 Q3,215,138,353,60.90651558
2017 Q4,202,181,383,52.74151436
2018 Q1,232,149,381,60.89238845
2018 Q2,305,163,468,65.17094017
2018 Q3,264,149,413,63.92251816
2018 Q4,299,161,460,65.0
2019 Q1,268,142,410,65.36585366
2019 Q2,295,156,451,65.41019956
2019 Q3,235,149,384,61.19791667
2019 Q4,217,141,358,60.61452514
2020 Q1,259,149,408,63.48039216
2020 Q2,75,78,153,49.01960784
2020 Q3,155,131,286,54.1958042
2020 Q4,149,111,260,57.30769231
2021 Q1,152,132,284,53.52112676
2021 Q2,163,138,301,54.15282392
2021 Q3,210,162,372,56.4516129
2021 Q4,155,111,266,58.27067669
2022 Q1,177,131,308,57.46753247
2022 Q2,179,151,330,54.24242424
2022 Q3,150,138,288,52.08333333
2022 Q4,166,162,328,50.6097561
2023 Q1,175,145,320,54.6875
2023 Q2,153,160,313,48.88178914
2023 Q3,153,159,312,49.03846154
2023 Q4,151,169,320,47.1875
2024 Q1,192,169,361,53.18559557
2024 Q2,180,162,342,52.63157895
2024 Q3,172,154,326,52.7607362
2024 Q4,131,149,280,46.78571429
2025 Q1,152,175,327,46.48318043
2025 Q2,121,179,300,40.33333333
2025 Q3,105,141,246,42.68292683
2025 Q4,108,145,253,42.68774704
2026 Q1,111,143,254,43.7007874
2026 Q2,87,113,200,43.5
