Metric,Felony,Misdemeanor
Cases Resolved 2025,1673.0,7250.0
Change since 2024,-12.81917665,5.91672754
,,
Cases Resolved Quarter 4 2025,355.0,1559.0
Change since Quarter 4 2024,-16.07565012,-16.27282492
