Year,Prosecutors,"Clerical, Paralegal, and Admin.",Victim/Witness Staff,Investigators/Officers,Other,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2017,88,54,26,42,38,248,21.8
2018,85,44,24,41,33,227,19.4
2019,99,50,24,47,38,258,19.4
2020,104,54,29,47,33,267,20.2
2021,107,56,30,50,32,275,20.4
2022,118,60,32,56,33,299,20.1
2023,120,71,32,60,38,321,22.1
2024,118,66,32,39,44,299,22.1
