Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2020,10,10,20,155,93,248,1,1,2,644,258,902,50.0,37.5,50.0,28.6
2021,21,4,25,166,66,232,2,1,3,605,288,893,16.0,28.4,33.3,32.3
2022,14,8,22,234,121,355,0,4,4,604,281,885,36.4,34.1,100.0,31.8
2023,22,10,32,245,95,340,2,2,4,528,218,746,31.2,27.9,50.0,29.2
2024,22,9,31,240,96,336,5,1,6,547,225,772,29.0,28.6,16.7,29.1
2025,7,7,14,239,112,351,4,1,5,638,202,840,50.0,31.9,20.0,24.0
