Disposition Year,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,1,0,1,19,28,47,102,75,177,100.0,40.42553191,57.62711864
2021,1,1,2,20,14,34,103,57,160,50.0,58.82352941,64.375
2022,0,2,2,56,15,71,78,51,129,0.0,78.87323944,60.46511628
2023,0,0,0,30,25,55,72,45,117,,54.54545455,61.53846154
2024,1,0,1,20,12,32,86,53,139,100.0,62.5,61.8705036
2025,1,0,1,38,23,61,67,41,108,100.0,62.29508197,62.03703704
