District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
09,2020,411,112,519,136,61
09,2021,530,169,506,133,57
09,2022,395,153,514,194,73
09,2023,366,117,383,239,50
09,2024,403,116,450,177,51
09,2025,431,100,560,213,51
