District,Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
09,2017 Q1,352,3,355,0.84507042
09,2017 Q2,387,10,397,2.51889169
09,2017 Q3,342,10,352,2.84090909
09,2017 Q4,425,16,441,3.62811791
09,2018 Q1,393,75,468,16.02564103
09,2018 Q2,280,120,400,30.0
09,2018 Q3,306,118,424,27.83018868
09,2018 Q4,288,94,382,24.60732984
09,2019 Q1,222,90,312,28.84615385
09,2019 Q2,239,109,348,31.32183908
09,2019 Q3,249,112,361,31.02493075
09,2019 Q4,273,111,384,28.90625
09,2020 Q1,250,128,378,33.86243386
09,2020 Q2,170,77,247,31.17408907
09,2020 Q3,231,70,301,23.25581395
09,2020 Q4,193,90,283,31.80212014
09,2021 Q1,204,69,273,25.27472527
09,2021 Q2,209,68,277,24.54873646
09,2021 Q3,187,103,290,35.51724138
09,2021 Q4,216,125,341,36.6568915
09,2022 Q1,238,106,344,30.81395349
09,2022 Q2,247,96,343,27.98833819
09,2022 Q3,205,123,328,37.5
09,2022 Q4,197,88,285,30.87719298
09,2023 Q1,207,87,294,29.59183673
09,2023 Q2,226,93,319,29.15360502
09,2023 Q3,190,74,264,28.03030303
09,2023 Q4,207,74,281,26.33451957
09,2024 Q1,169,86,255,33.7254902
09,2024 Q2,225,85,310,27.41935484
09,2024 Q3,265,77,342,22.51461988
09,2024 Q4,211,88,299,29.43143813
09,2025 Q1,256,104,360,28.88888889
09,2025 Q2,262,83,345,24.05797101
09,2025 Q3,234,73,307,23.77850163
09,2025 Q4,216,68,284,23.94366197
