DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,3,20,23,13.0,45,159,204,22.1
2019 Q2,6,21,27,22.2,29,124,153,19.0
2020 Q4,0,15,15,0.0,18,115,133,13.5
2025 Q3,5,17,22,22.7,17,127,144,11.8
2021 Q3,1,11,12,8.3,15,146,161,9.3
2023 Q1,1,16,17,5.9,28,120,148,18.9
2017 Q3,11,7,18,61.1,21,32,53,39.6
2025 Q4,0,8,8,0.0,24,134,158,15.2
2021 Q2,2,12,14,14.3,18,134,152,11.8
2019 Q1,1,15,16,6.2,28,122,150,18.7
2022 Q2,2,20,22,9.1,18,173,191,9.4
2018 Q1,4,16,20,20.0,32,113,145,22.1
2019 Q4,5,27,32,15.6,38,161,199,19.1
2021 Q1,5,20,25,20.0,22,135,157,14.0
2019 Q3,2,20,22,9.1,28,150,178,15.7
2024 Q1,4,16,20,20.0,15,95,110,13.6
2018 Q2,4,10,14,28.6,36,135,171,21.1
2020 Q1,6,31,37,16.2,35,175,210,16.7
2023 Q4,6,12,18,33.3,24,105,129,18.6
2018 Q4,7,22,29,24.1,32,152,184,17.4
2020 Q3,2,21,23,8.7,32,131,163,19.6
2017 Q4,10,8,18,55.6,33,51,84,39.3
2024 Q3,1,14,15,6.7,21,140,161,13.0
2024 Q2,1,13,14,7.1,28,131,159,17.6
2017 Q1,8,10,18,44.4,17,37,54,31.5
2022 Q3,3,13,16,18.8,22,153,175,12.6
2025 Q1,2,18,20,10.0,31,173,204,15.2
2023 Q2,1,18,19,5.3,22,126,148,14.9
2017 Q2,8,12,20,40.0,35,51,86,40.7
2020 Q2,3,29,32,9.4,22,104,126,17.5
2023 Q3,2,20,22,9.1,12,93,105,11.4
2022 Q1,1,13,14,7.1,31,152,183,16.9
2024 Q4,2,15,17,11.8,16,137,153,10.5
2025 Q2,0,16,16,0.0,35,138,173,20.2
2021 Q4,4,18,22,18.2,32,169,201,15.9
2022 Q4,4,17,21,19.0,19,110,129,14.7
