Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,21,15,36,25,8,33,58.3,75.8
2020,16,16,32,32,31,63,50.0,50.8
2021,19,10,29,30,20,50,65.5,60.0
2022,19,8,27,15,11,26,70.4,57.7
2023,8,11,19,19,10,29,42.1,65.5
2024,10,8,18,23,14,37,55.6,62.2
