Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,415,112,520,136,61,0
2021,537,170,511,133,58,0
2022,399,155,515,195,73,0
2023,366,117,383,239,52,0
2024,403,116,451,177,51,0
2025,431,101,561,213,51,0
