Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2020,16,7,23,4,4,8,69.56521739,50.0
2021,5,2,7,1,2,3,71.42857143,33.33333333
2022,2,2,4,4,6,10,50.0,40.0
2023,9,8,17,5,6,11,52.94117647,45.45454545
2024,2,2,4,6,13,19,50.0,31.57894737
2025,6,10,16,10,11,21,37.5,47.61904762
