District,Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
09,2020,2,105,49,1,10,0,68
09,2021,2,70,32,3,11,0,85
09,2022,5,68,43,0,24,0,72
09,2023,2,74,27,2,15,0,67
09,2024,1,65,31,1,18,1,66
09,2025,1,65,30,7,17,0,55
