Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,29,9,38,12,6,18,76.3,66.7
2020,16,7,23,4,4,8,69.6,50.0
2021,4,2,6,1,2,3,66.7,33.3
2022,3,1,4,4,7,11,75.0,36.4
2023,9,8,17,4,5,9,52.9,44.4
2024,3,2,5,8,9,17,60.0,47.1
2025,5,9,14,11,15,26,35.7,42.3
