Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2017,4,2,6,3,0,3,46,10,56,116,62,178,66.7,100.0,82.1,65.2
2018,3,1,4,0,0,0,35,24,59,88,64,152,75.0,,59.3,57.9
2019,0,2,2,0,0,0,26,20,46,100,70,170,0.0,,56.5,58.8
2020,5,2,7,1,0,1,19,28,47,102,75,177,71.4,100.0,40.4,57.6
2021,4,0,4,1,1,2,20,14,34,103,57,160,100.0,50.0,58.8,64.4
2022,4,3,7,0,2,2,56,15,71,78,51,129,57.1,0.0,78.9,60.5
2023,5,4,9,0,0,0,30,25,55,72,45,117,55.6,,54.5,61.5
2024,4,0,4,1,0,1,20,12,32,86,53,139,100.0,100.0,62.5,61.9
2025,2,1,3,1,0,1,38,23,61,67,41,108,66.7,100.0,62.3,62.0
