Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,1191.0,143.0,667.0,243.0,64.0,17.0,0.0,55.0
Change since 2024,-0.58430718,-17.34104046,19.96402878,16.26794258,1.58730159,-5.55555556,-100.0,-16.66666667
