Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,95,52,5,20,1,56
2020,105,49,1,10,0,68
2021,70,32,3,11,0,85
2022,68,43,0,24,0,72
2023,74,27,2,15,0,67
2024,65,31,1,18,1,66
2025,65,30,7,17,0,55
