Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,352,3,355,0.8
2017 Q2,387,10,397,2.5
2017 Q3,342,10,352,2.8
2017 Q4,425,16,441,3.6
2018 Q1,393,75,468,16.0
2018 Q2,285,120,405,29.6
2018 Q3,307,118,425,27.8
2018 Q4,291,94,385,24.4
2019 Q1,223,90,313,28.8
2019 Q2,240,109,349,31.2
2019 Q3,250,112,362,30.9
2019 Q4,274,111,385,28.8
2020 Q1,253,128,381,33.6
2020 Q2,175,77,252,30.6
2020 Q3,232,70,302,23.2
2020 Q4,194,90,284,31.7
2021 Q1,205,69,274,25.2
2021 Q2,213,68,281,24.2
2021 Q3,189,104,293,35.5
2021 Q4,216,125,341,36.7
2022 Q1,240,109,349,31.2
2022 Q2,247,96,343,28.0
2022 Q3,205,123,328,37.5
2022 Q4,197,88,285,30.9
2023 Q1,207,87,294,29.6
2023 Q2,226,95,321,29.6
2023 Q3,190,74,264,28.0
2023 Q4,206,75,281,26.7
2024 Q1,169,86,255,33.7
2024 Q2,225,85,310,27.4
2024 Q3,265,77,342,22.5
2024 Q4,212,88,300,29.3
2025 Q1,256,104,360,28.9
2025 Q2,262,83,345,24.1
2025 Q3,234,73,307,23.8
2025 Q4,216,70,286,24.5
