District,Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
09,2019,22,14,36,23,8,31,61.11111111,74.19354839
09,2020,18,16,34,28,32,60,52.94117647,46.66666667
09,2021,19,10,29,29,20,49,65.51724138,59.18367347
09,2022,19,9,28,15,9,24,67.85714286,62.5
09,2023,8,11,19,20,9,29,42.10526316,68.96551724
09,2024,9,8,17,22,14,36,52.94117647,61.11111111
