Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,31,313,344,9.0,91.0
2017 Q2,32,321,353,9.1,90.9
2017 Q3,34,329,363,9.4,90.6
2017 Q4,34,302,336,10.1,89.9
2018 Q1,26,273,299,8.7,91.3
2018 Q2,38,299,337,11.3,88.7
2018 Q3,34,366,400,8.5,91.5
2018 Q4,48,292,340,14.1,85.9
2019 Q1,37,276,313,11.8,88.2
2019 Q2,32,300,332,9.6,90.4
2019 Q3,52,336,388,13.4,86.6
2019 Q4,49,310,359,13.6,86.4
2020 Q1,31,263,294,10.5,89.5
2020 Q2,48,227,275,17.5,82.5
2020 Q3,50,320,370,13.5,86.5
2020 Q4,65,292,357,18.2,81.8
2021 Q1,58,274,332,17.5,82.5
2021 Q2,61,295,356,17.1,82.9
2021 Q3,67,266,333,20.1,79.9
2021 Q4,63,261,324,19.4,80.6
2022 Q1,39,250,289,13.5,86.5
2022 Q2,57,236,293,19.5,80.5
2022 Q3,70,304,374,18.7,81.3
2022 Q4,58,274,332,17.5,82.5
2023 Q1,61,312,373,16.4,83.6
2023 Q2,61,302,363,16.8,83.2
2023 Q3,78,341,419,18.6,81.4
2023 Q4,60,285,345,17.4,82.6
2024 Q1,84,315,399,21.1,78.9
2024 Q2,60,309,369,16.3,83.7
2024 Q3,75,318,393,19.1,80.9
2024 Q4,72,292,364,19.8,80.2
2025 Q1,70,316,386,18.1,81.9
2025 Q2,84,349,433,19.4,80.6
2025 Q3,96,314,410,23.4,76.6
2025 Q4,73,280,353,20.7,79.3
2026 Q1,58,258,316,18.4,81.6
2026 Q2,78,258,336,23.2,76.8
