Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,14954,4778,1,43
2018,15421,5022,0,36
2019,13777,4444,0,38
2020,9947,2820,0,34
2021,10008,2827,0,67
2022,9547,2660,0,90
2023,10432,3046,0,92
2024,10948,2947,0,108
2025,10129,2691,1,64
