Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,9536,4736,4854,99,212,120,219
2018,9871,5091,4905,96,251,78,187
2019,8941,4394,4362,102,213,72,175
2020,5980,3195,3213,66,168,51,128
2021,5931,3303,3224,64,158,52,170
2022,5717,3053,3044,77,162,68,176
2023,6357,3290,3396,77,195,45,210
2024,6214,3448,3793,92,205,33,218
2025,5987,3306,3157,71,184,16,164
