District,Filing Year,Male,Female,Another Gender,Unknown/Missing
02,2017,14954,4778,1,43
02,2018,15425,5023,0,32
02,2019,13779,4445,0,38
02,2020,9950,2820,0,33
02,2021,10011,2826,0,66
02,2022,9554,2654,1,84
02,2023,10435,3043,0,92
02,2024,10946,2949,0,109
02,2025,10132,2690,0,65
