District,Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
02,2017 Q1,31,313,344,9.01162791,90.98837209
02,2017 Q2,32,321,353,9.06515581,90.93484419
02,2017 Q3,34,329,363,9.36639118,90.63360882
02,2017 Q4,34,302,336,10.11904762,89.88095238
02,2018 Q1,26,273,299,8.69565217,91.30434783
02,2018 Q2,38,299,337,11.27596439,88.72403561
02,2018 Q3,34,366,400,8.5,91.5
02,2018 Q4,48,292,340,14.11764706,85.88235294
02,2019 Q1,37,276,313,11.82108626,88.17891374
02,2019 Q2,32,300,332,9.63855422,90.36144578
02,2019 Q3,52,336,388,13.40206186,86.59793814
02,2019 Q4,49,310,359,13.64902507,86.35097493
02,2020 Q1,31,263,294,10.54421769,89.45578231
02,2020 Q2,48,227,275,17.45454545,82.54545455
02,2020 Q3,50,320,370,13.51351351,86.48648649
02,2020 Q4,65,292,357,18.20728291,81.79271709
02,2021 Q1,58,274,332,17.46987952,82.53012048
02,2021 Q2,61,295,356,17.13483146,82.86516854
02,2021 Q3,67,266,333,20.12012012,79.87987988
02,2021 Q4,63,261,324,19.44444444,80.55555556
02,2022 Q1,39,250,289,13.49480969,86.50519031
02,2022 Q2,57,236,293,19.45392491,80.54607509
02,2022 Q3,70,304,374,18.71657754,81.28342246
02,2022 Q4,58,274,332,17.46987952,82.53012048
02,2023 Q1,61,312,373,16.3538874,83.6461126
02,2023 Q2,61,302,363,16.80440771,83.19559229
02,2023 Q3,78,341,419,18.61575179,81.38424821
02,2023 Q4,60,285,345,17.39130435,82.60869565
02,2024 Q1,84,315,399,21.05263158,78.94736842
02,2024 Q2,60,309,369,16.2601626,83.7398374
02,2024 Q3,75,318,393,19.08396947,80.91603053
02,2024 Q4,72,292,364,19.78021978,80.21978022
02,2025 Q1,70,316,386,18.13471503,81.86528497
02,2025 Q2,84,349,433,19.39953811,80.60046189
02,2025 Q3,96,314,410,23.41463415,76.58536585
02,2025 Q4,73,280,353,20.67988669,79.32011331
02,2026 Q1,58,258,316,18.35443038,81.64556962
02,2026 Q2,79,254,333,23.72372372,76.27627628
