Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,9557,4734,4839,95,211,122,218
2018,9882,5090,4894,97,253,78,186
2019,8949,4398,4352,101,212,75,175
2020,5991,3190,3209,64,167,53,129
2021,5942,3302,3213,65,159,51,171
2022,5722,3054,3038,74,164,70,171
2023,6362,3291,3389,77,195,46,210
2024,6233,3438,3781,95,206,31,220
2025,5993,3306,3150,75,184,14,165
