District,Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
02,2017,11698,3055,5023
02,2018,11031,3850,5599
02,2019,9537,3839,4886
02,2020,5979,3438,3386
02,2021,6056,3826,3021
02,2022,5925,3580,2788
02,2023,6716,3831,3023
02,2024,6729,4254,3021
02,2025,6310,3920,2657
