District,Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
12,2024,619,85,704,12.07386364
12,2021,709,365,1074,33.98510242
12,2022,617,207,824,25.12135922
12,2025,565,106,671,15.79731744
12,2019,898,8,906,0.88300221
12,2020,664,266,930,28.60215054
12,2023,669,135,804,16.79104478
12,2017,1081,5,1086,0.46040516
12,2018,900,13,913,1.42387733
