Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,1081,5,1086,0.5
2018,900,13,913,1.4
2019,898,8,906,0.9
2020,664,266,930,28.6
2021,709,365,1074,34.0
2022,617,207,824,25.1
2023,669,135,804,16.8
2024,620,85,705,12.1
2025,565,106,671,15.8
