Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving White defendants declined
2020,13,5,18,354,126,480,266,102,368,27.77777778,26.25,27.7173913
2021,14,6,20,400,164,564,265,135,400,30.0,29.07801418,33.75
2022,11,7,18,338,80,418,238,91,329,38.88888889,19.13875598,27.65957447
2023,13,0,13,330,67,397,295,56,351,0.0,16.87657431,15.95441595
2024,4,0,4,303,38,341,264,36,300,0.0,11.14369501,12.0
2025,9,1,10,271,45,316,235,44,279,10.0,14.24050633,15.77060932
