District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
12,2024,619,85,704,1,55,81,7,41,223,408,12.07386364,19.85294118
12,2021,709,365,1074,1,65,183,6,92,317,664,33.98510242,27.56024096
12,2022,617,207,824,4,63,176,1,83,354,681,25.12135922,25.84434655
12,2025,565,106,671,0,67,130,4,36,279,516,15.79731744,25.19379845
12,2019,898,8,906,5,41,131,31,65,272,545,0.88300221,24.03669725
12,2020,664,266,930,1,45,90,8,45,348,537,28.60215054,16.75977654
12,2023,669,135,804,2,46,70,8,17,240,383,16.79104478,18.2767624
12,2017,1081,5,1086,2,48,122,36,58,306,572,0.46040516,21.32867133
12,2026,322,25,347,0,25,61,4,14,128,232,7.20461095,26.29310345
12,2018,900,13,913,2,55,161,32,34,228,512,1.42387733,31.4453125
