Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,664,266,930,28.6
2021,709,365,1074,34.0
2022,617,207,824,25.1
2023,669,135,804,16.8
2024,619,85,704,12.1
2025,565,106,671,15.8
