Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,1081,5,1086,2,48,122,36,58,306,572,0.5,21.3
2018,900,13,913,2,55,161,32,34,228,512,1.4,31.4
2019,898,8,906,5,41,132,31,65,272,546,0.9,24.2
2020,664,266,930,1,46,94,15,45,351,552,28.6,17.0
2021,709,365,1074,1,65,183,6,94,320,669,34.0,27.4
2022,617,207,824,4,61,179,3,83,354,684,25.1,26.2
2023,669,135,804,2,48,70,11,19,241,391,16.8,17.9
2024,620,85,705,1,56,86,7,42,232,424,12.1,20.3
2025,565,106,671,0,68,134,4,37,283,526,15.8,25.5
