Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,233,11,1,245,4.48979592,41,37,78,52.56410256
2017 Q2,240,7,0,247,2.8340081,27,24,51,52.94117647
2017 Q3,304,12,0,316,3.79746835,50,64,114,43.85964912
2017 Q4,261,12,0,273,4.3956044,48,51,99,48.48484848
2018 Q1,234,8,0,242,3.30578512,34,32,66,51.51515152
2018 Q2,227,10,0,237,4.21940928,65,35,100,65.0
2018 Q3,186,6,0,192,3.125,22,29,51,43.1372549
2018 Q4,222,7,0,229,3.05676856,23,19,42,54.76190476
2019 Q1,241,11,1,253,4.34782609,19,18,37,51.35135135
2019 Q2,202,5,1,208,2.40384615,74,59,133,55.63909774
2019 Q3,247,4,0,251,1.5936255,40,27,67,59.70149254
2019 Q4,180,6,0,186,3.22580645,33,33,66,50.0
2020 Q1,163,1,0,164,0.6097561,62,60,122,50.81967213
2020 Q2,180,5,0,185,2.7027027,49,59,108,45.37037037
2020 Q3,161,3,0,164,1.82926829,46,29,75,61.33333333
2020 Q4,139,12,0,151,7.94701987,31,20,51,60.78431373
2021 Q1,137,8,1,146,5.47945205,39,12,51,76.47058824
2021 Q2,208,6,0,214,2.80373832,52,22,74,70.27027027
2021 Q3,194,10,0,204,4.90196078,67,16,83,80.72289157
2021 Q4,142,3,0,145,2.06896552,75,39,114,65.78947368
2022 Q1,172,16,0,188,8.5106383,72,32,104,69.23076923
2022 Q2,163,7,0,170,4.11764706,62,20,82,75.6097561
2022 Q3,102,12,0,114,10.52631579,64,26,90,71.11111111
2022 Q4,134,10,1,145,6.89655172,46,32,78,58.97435897
2023 Q1,150,15,0,165,9.09090909,30,26,56,53.57142857
2023 Q2,155,19,0,174,10.91954023,17,27,44,38.63636364
2023 Q3,149,14,1,165,8.48484848,41,27,68,60.29411765
2023 Q4,157,8,0,165,4.84848485,32,45,77,41.55844156
2024 Q1,155,11,0,166,6.62650602,24,24,48,50.0
2024 Q2,152,8,1,161,4.9689441,32,34,66,48.48484848
2024 Q3,136,18,1,155,11.61290323,36,26,62,58.06451613
2024 Q4,119,14,2,137,10.2189781,36,16,52,69.23076923
2025 Q1,111,14,0,126,11.11111111,45,40,85,52.94117647
2025 Q2,137,16,0,153,10.45751634,33,33,66,50.0
2025 Q3,130,25,0,155,16.12903226,35,33,68,51.47058824
2025 Q4,120,11,0,131,8.39694656,39,24,63,61.9047619
2026 Q1,123,19,0,142,13.38028169,38,39,77,49.35064935
2026 Q2,149,21,2,173,12.13872832,32,23,55,58.18181818
