Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2017,28,0,28,531,3,534,6,0,6,457,2,459,0.0,0.6,0.0,0.4
2018,10,0,10,407,7,414,8,0,8,421,6,427,0.0,1.7,0.0,1.4
2019,19,0,19,468,4,472,3,0,3,357,3,360,0.0,0.8,0.0,0.8
2020,13,5,18,354,126,480,4,1,5,266,102,368,27.8,26.2,20.0,27.7
2021,14,6,20,400,164,564,6,2,8,265,135,400,30.0,29.1,25.0,33.8
2022,11,7,18,338,80,418,2,2,4,238,91,329,38.9,19.1,50.0,27.7
2023,13,0,13,330,67,397,2,0,2,295,56,351,0.0,16.9,0.0,16.0
2024,4,0,4,303,38,341,4,0,4,265,36,301,0.0,11.1,0.0,12.0
2025,9,1,10,270,45,315,2,1,3,236,44,280,10.0,14.3,33.3,15.7
