Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,233,11,1,245,4.5,41,37,78,52.6
2017 Q2,240,7,0,247,2.8,27,24,51,52.9
2017 Q3,304,12,0,316,3.8,50,64,114,43.9
2017 Q4,261,12,0,273,4.4,48,51,99,48.5
2018 Q1,234,8,0,242,3.3,34,32,66,51.5
2018 Q2,227,10,0,237,4.2,65,35,100,65.0
2018 Q3,186,6,0,192,3.1,22,29,51,43.1
2018 Q4,222,7,0,229,3.1,23,19,42,54.8
2019 Q1,241,11,1,253,4.3,19,18,37,51.4
2019 Q2,202,5,1,208,2.4,74,59,133,55.6
2019 Q3,247,4,0,251,1.6,40,27,67,59.7
2019 Q4,180,6,0,186,3.2,33,33,66,50.0
2020 Q1,163,1,0,164,0.6,65,60,125,52.0
2020 Q2,180,5,0,185,2.7,49,59,108,45.4
2020 Q3,161,3,0,164,1.8,49,31,80,61.2
2020 Q4,139,12,0,151,7.9,33,20,53,62.3
2021 Q1,137,8,1,146,5.5,40,12,52,76.9
2021 Q2,208,6,0,214,2.8,53,23,76,69.7
2021 Q3,194,10,0,204,4.9,67,15,82,81.7
2021 Q4,142,3,0,145,2.1,75,39,114,65.8
2022 Q1,172,16,0,188,8.5,72,32,104,69.2
2022 Q2,163,7,0,170,4.1,62,20,82,75.6
2022 Q3,102,12,0,114,10.5,63,27,90,70.0
2022 Q4,134,10,1,145,6.9,47,33,80,58.8
2023 Q1,150,15,0,165,9.1,31,25,56,55.4
2023 Q2,155,19,0,174,10.9,19,28,47,40.4
2023 Q3,149,14,1,165,8.5,42,27,69,60.9
2023 Q4,157,8,0,165,4.8,32,46,78,41.0
2024 Q1,155,11,0,166,6.6,27,25,52,51.9
2024 Q2,153,8,1,162,4.9,33,36,69,47.8
2024 Q3,136,18,1,155,11.6,37,26,63,58.7
2024 Q4,119,14,2,137,10.2,37,16,53,69.8
2025 Q1,111,14,0,126,11.1,46,40,86,53.5
2025 Q2,137,16,0,153,10.5,33,33,66,50.0
2025 Q3,130,25,0,155,16.1,35,36,71,49.3
2025 Q4,120,11,0,131,8.4,39,24,63,61.9
2026 Q1,123,19,0,142,13.4,38,40,78,48.7
2026 Q2,149,22,2,174,12.6,33,29,62,53.2
