Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,664,266,930,28.60215054
2021,709,365,1074,33.98510242
2022,617,207,824,25.12135922
2023,669,135,804,16.79104478
2024,619,85,704,12.07386364
2025,565,106,671,15.79731744
