Disposition Quarter,Average number of hearings per case
2017 Q1,6.3832
2017 Q2,6.2483
2017 Q3,6.307
2017 Q4,6.3376
2018 Q1,6.1013
2018 Q2,6.3231
2018 Q3,6.2782
2018 Q4,6.599
2019 Q1,6.9111
2019 Q2,6.7612
2019 Q3,6.8753
2019 Q4,6.7294
2020 Q1,6.977
2020 Q2,8.209
2020 Q3,8.3863
2020 Q4,8.3195
2021 Q1,8.5176
2021 Q2,9.5172
2021 Q3,9.0185
2021 Q4,8.6685
2022 Q1,8.8713
2022 Q2,9.0815
2022 Q3,8.7876
2022 Q4,8.8496
2023 Q1,8.7119
2023 Q2,8.3918
2023 Q3,8.668
2023 Q4,8.3323
2024 Q1,8.362
2024 Q2,8.0056
2024 Q3,8.581
2024 Q4,8.862
2025 Q1,9.0579
2025 Q2,9.4298
2025 Q3,8.5817
2025 Q4,8.3173
2026 Q1,8.8946
2026 Q2,9.2191
