District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
17,2020,366,193,393,10,41,2544
17,2021,458,189,401,24,45,3005
17,2022,438,203,452,18,56,3135
17,2023,447,184,412,9,58,3227
17,2024,469,145,461,19,62,3040
17,2025,458,163,423,28,77,2688
