Metric,Felony,Misdemeanor
Cases Resolved 2025,3840.0,17798.0
Change since 2024,-8.68014269,42.61217949
,,
Cases Resolved Quarter 4 2025,818.0,4342.0
Change since Quarter 4 2024,-16.27430911,39.8389694
