Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2020,6,3,9,409,405,814,142,114,256,773,660,1433,66.7,50.2,55.5,53.9
2021,4,4,8,554,553,1107,178,148,326,853,709,1562,50.0,50.0,54.6,54.6
2022,6,3,9,536,625,1161,142,165,307,824,840,1664,66.7,46.2,46.3,49.5
2023,10,2,12,509,688,1197,147,204,351,779,907,1686,83.3,42.5,41.9,46.2
2024,4,12,16,493,687,1180,144,210,354,697,791,1488,25.0,41.8,40.7,46.8
2025,4,7,11,449,622,1071,156,188,344,603,681,1284,36.4,41.9,45.3,47.0
