Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,693,518,1211,57.22543353,42.77456647
2017 Q2,691,489,1180,58.55932203,41.44067797
2017 Q3,643,491,1134,56.70194004,43.29805996
2017 Q4,706,534,1240,56.93548387,43.06451613
2018 Q1,675,512,1187,56.86604886,43.13395114
2018 Q2,789,565,1354,58.2717873,41.7282127
2018 Q3,691,527,1218,56.73234811,43.26765189
2018 Q4,737,498,1235,59.67611336,40.32388664
2019 Q1,838,457,1295,64.71042471,35.28957529
2019 Q2,785,521,1306,60.10719755,39.89280245
2019 Q3,729,468,1197,60.90225564,39.09774436
2019 Q4,758,492,1250,60.64,39.36
2020 Q1,757,404,1161,65.20241171,34.79758829
2020 Q2,455,86,541,84.10351201,15.89648799
2020 Q3,719,154,873,82.35967927,17.64032073
2020 Q4,649,191,840,77.26190476,22.73809524
2021 Q1,757,164,921,82.19326819,17.80673181
2021 Q2,796,170,966,82.40165631,17.59834369
2021 Q3,853,214,1067,79.94376757,20.05623243
2021 Q4,807,246,1053,76.63817664,23.36182336
2022 Q1,826,224,1050,78.66666667,21.33333333
2022 Q2,921,218,1139,80.86040386,19.13959614
2022 Q3,748,237,985,75.93908629,24.06091371
2022 Q4,738,214,952,77.5210084,22.4789916
2023 Q1,803,284,1087,73.87304508,26.12695492
2023 Q2,773,315,1088,71.04779412,28.95220588
2023 Q3,732,254,986,74.23935091,25.76064909
2023 Q4,655,260,915,71.58469945,28.41530055
2024 Q1,756,258,1014,74.55621302,25.44378698
2024 Q2,720,311,1031,69.83511154,30.16488846
2024 Q3,726,287,1013,71.66831194,28.33168806
2024 Q4,663,260,923,71.83098592,28.16901408
2025 Q1,723,255,978,73.92638037,26.07361963
2025 Q2,737,241,978,75.35787321,24.64212679
2025 Q3,664,234,898,73.94209354,26.05790646
2025 Q4,548,215,763,71.82175623,28.17824377
2026 Q1,652,216,868,75.11520737,24.88479263
2026 Q2,638,204,842,75.7719715,24.2280285
