Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,1217,331,425,20,69,5701
2021,2102,686,512,39,87,8212
2022,2226,1111,568,34,96,8213
2023,2653,871,528,40,121,7729
2024,2964,862,586,36,138,7894
2025,6917,1091,471,44,96,9179
