Disposition Quarter,Average number of hearings per case
2017 Q1,6.3832
2017 Q2,6.2483
2017 Q3,6.307
2017 Q4,6.3376
2018 Q1,6.1013
2018 Q2,6.3231
2018 Q3,6.2782
2018 Q4,6.599
2019 Q1,6.8965
2019 Q2,6.7612
2019 Q3,6.8753
2019 Q4,6.7294
2020 Q1,6.977
2020 Q2,8.209
2020 Q3,8.3863
2020 Q4,8.3168
2021 Q1,8.5191
2021 Q2,9.5399
2021 Q3,9.0378
2021 Q4,8.662
2022 Q1,8.8607
2022 Q2,9.0923
2022 Q3,8.812
2022 Q4,8.8468
2023 Q1,8.7086
2023 Q2,8.3842
2023 Q3,8.6712
2023 Q4,8.3344
2024 Q1,8.3595
2024 Q2,8.0
2024 Q3,8.5714
2024 Q4,8.8465
2025 Q1,9.0549
2025 Q2,9.4298
2025 Q3,8.5674
2025 Q4,8.3157
2026 Q1,8.9042
2026 Q2,9.2356
